Descrição;Preço;TotalReviews;Loja;Categoria
Notebook Acer AN515-55-51D3 Intel Core i5-10300H 8GB (GeForce GTX 1650) 512GB SSD W10 15,6'' - Black;R$ 5.499,99;2;Submarino;Notebook
Notebook Acer Aspire Nitro 5 AN515-54-528V 9ª Intel Core i5 8GB (Geforce GTX1650 4GB) 1TB 128GB SSD 15.6 FHD W10 Preto;R$ 5.389,00;7;Submarino;Notebook
Notebook Asus X515JA-EJ592R Intel Core i5-1035G1 8GB 256GB SSD W10 Pro 15.6'' Cinza;R$ 4.482,99;0;Submarino;Notebook
Notebook Acer Aspire 3 A315-23-R1J9 AMD Ryzen 7-3700U 12GB (AMD Radeon RX Vega 10) 256GB SSD W10 15,6'' - Preto;R$ 3.579,99;3;Submarino;Notebook
Notebook Samsung Book Intel Core I3-1115G4 4GB 1TB W10 FHD 15.6'' Cinza Chumbo NP550XDA-KT1BR;R$ 2.970,59;6;Submarino;Notebook
Notebook Acer A515-54-53VN Intel Core i5-10210U 8GB 256GB SSD W10 15.6'' - Black;R$ 3.579,99;0;Submarino;Notebook
Notebook Samsung Book Intel Celeron-6305 4GB 500GB W10 FHD 15.6'' Cinza Chumbo NP550XDA-KO1BR;R$ 2.199,00;8;Submarino;Notebook
Notebook Compaq Presario 420 Intel Pentium-N3700 4GB 120GB W10 14,1'' Cinza;R$ 1.823,60;14;Submarino;Notebook
Notebook Samsung Book Intel Core i5-1135G7 8GB 1TB (Intel Iris Xe) W10 FHD 15.6'' Branco NP550XDA-KF4BR;R$ 3.789,00;10;Submarino;Notebook
Notebook Acer Aspire 5 A515-54-557C Intel Core i5 4GB 256GB SSD Linux 15.6'' Cinza;R$ 3.349,99;0;Submarino;Notebook
"Notebook Asus Vivobook 15 X513EA-EJ1065T Intel Core i7-1165G7 8GB 512GB W10 15.6"" Black";R$ 6.357,99;0;Submarino;Notebook
Notebook Acer Aspire 3 A315-23-R6HC AMD R5 3500U 8GB 512GB SSD W10 15,6'';R$ 3.571,99;0;Submarino;Notebook
"Notebook Lenovo Ultrafino Ideapad 3i Intel Core i3-10110U 4GB 1TB W10 15.6"" Prata";R$ 2.949,16;8;Submarino;Notebook
Notebook Acer Aspire 5 AN515-55-705U Intel Core i7-10750H 8GB (GeForce GTX 1660 TI 6GB) 512GB W10 15.6'' - Preto;R$ 7.678,00;7;Submarino;Notebook
"Notebook Acer Aspire 5 A515-54G-53XP Intel Core i5-10210U 8GB (MX250 2GB) 256GB W10 15.6"" Prata";R$ 3.699,99;12;Submarino;Notebook
Notebook Samsung Book Intel Core i5-1135G7 8GB 256GB SSD (Intel Iris Xe) Windows 10 FHD Tela 15.6'' Cinza Chumbo NP550XDA-KF2BR;R$ 3.689,00;38;Submarino;Notebook
"Notebook Lenovo Ultrafino Ideapad S145 AMD Ryzen 5 12GB 1TB Linux 15.6"" Prata";R$ 3.048,35;19;Submarino;Notebook
"Notebook Acer Aspire 5 A515-54-50BT Intel Core i5-10210U 8GB 512GB W10 15,6"" Prata";R$ 3.889,00;21;Submarino;Notebook
"Notebook Lenovo Ultrafino Ideapad 3i Intel Core i5-10210U 8GB 256GB SSD W10 15.6"" Prata";R$ 3.499,99;4;Submarino;Notebook
"Notebook Dell Inspiron I15-3501-A10P Intel Pentium Gold-7505 4GB 128GB W10 HD 15.6"" Preto";R$ 2.759,74;5;Submarino;Notebook
"Notebook Acer Aspire 5 AN515-44-R8HN AMD Ryzen 7-4800H 8GB (GeForce GTX 1650 4GB) 512GB SSD W10 15.6"" Preto";R$ 6.299,99;11;Submarino;Notebook
"Notebook Dell Inspiron I15-3501-A25P Intel Core I3-1005G1 4GB 256GB SSD W10 15.6"" - Preto";R$ 3.099,99;14;Submarino;Notebook
"Notebook Lenovo Ultrafino Ideapad 3i Intel Core i5-10210U 8GB (GeForce MX330 2GB) 256GB SSD W10 15.6"" Prata";R$ 4.099,00;3;Submarino;Notebook
"MacBook Air 13"" Apple M1 (8GB 256GB) Prateado";R$ 8.413,61;1;Submarino;Notebook
Notebook Acer AN515-55-51D3 Intel Core i5-10300H 8GB (GeForce GTX 1650) 512GB SSD W10 15,6'' - Black;R$ 5.499,99;2;Submarino;Notebook
Notebook Acer Aspire Nitro 5 AN515-54-528V 9ª Intel Core i5 8GB (Geforce GTX1650 4GB) 1TB 128GB SSD 15.6 FHD W10 Preto;R$ 5.389,00;7;Submarino;Notebook
Notebook Asus X515JA-EJ592R Intel Core i5-1035G1 8GB 256GB SSD W10 Pro 15.6'' Cinza;R$ 4.482,99;0;Submarino;Notebook
Notebook Acer Aspire 3 A315-23-R1J9 AMD Ryzen 7-3700U 12GB (AMD Radeon RX Vega 10) 256GB SSD W10 15,6'' - Preto;R$ 3.579,99;3;Submarino;Notebook
Notebook Samsung Book Intel Core I3-1115G4 4GB 1TB W10 FHD 15.6'' Cinza Chumbo NP550XDA-KT1BR;R$ 2.970,59;6;Submarino;Notebook
Notebook Acer A515-54-53VN Intel Core i5-10210U 8GB 256GB SSD W10 15.6'' - Black;R$ 3.579,99;0;Submarino;Notebook
Notebook Samsung Book Intel Celeron-6305 4GB 500GB W10 FHD 15.6'' Cinza Chumbo NP550XDA-KO1BR;R$ 2.199,00;8;Submarino;Notebook
Notebook Compaq Presario 420 Intel Pentium-N3700 4GB 120GB W10 14,1'' Cinza;R$ 1.823,60;14;Submarino;Notebook
Notebook Samsung Book Intel Core i5-1135G7 8GB 1TB (Intel Iris Xe) W10 FHD 15.6'' Branco NP550XDA-KF4BR;R$ 3.789,00;10;Submarino;Notebook
Notebook Acer Aspire 5 A515-54-557C Intel Core i5 4GB 256GB SSD Linux 15.6'' Cinza;R$ 3.349,99;0;Submarino;Notebook
"Notebook Asus Vivobook 15 X513EA-EJ1065T Intel Core i7-1165G7 8GB 512GB W10 15.6"" Black";R$ 6.357,99;0;Submarino;Notebook
Notebook Acer Aspire 3 A315-23-R6HC AMD R5 3500U 8GB 512GB SSD W10 15,6'';R$ 3.571,99;0;Submarino;Notebook
"Notebook Lenovo Ultrafino Ideapad 3i Intel Core i3-10110U 4GB 1TB W10 15.6"" Prata";R$ 2.949,16;8;Submarino;Notebook
Notebook Acer Aspire 5 AN515-55-705U Intel Core i7-10750H 8GB (GeForce GTX 1660 TI 6GB) 512GB W10 15.6'' - Preto;R$ 7.678,00;7;Submarino;Notebook
"Notebook Acer Aspire 5 A515-54G-53XP Intel Core i5-10210U 8GB (MX250 2GB) 256GB W10 15.6"" Prata";R$ 3.699,99;12;Submarino;Notebook
Notebook Samsung Book Intel Core i5-1135G7 8GB 256GB SSD (Intel Iris Xe) Windows 10 FHD Tela 15.6'' Cinza Chumbo NP550XDA-KF2BR;R$ 3.689,00;38;Submarino;Notebook
"Notebook Lenovo Ultrafino Ideapad S145 AMD Ryzen 5 12GB 1TB Linux 15.6"" Prata";R$ 3.048,35;19;Submarino;Notebook
"Notebook Acer Aspire 5 A515-54-50BT Intel Core i5-10210U 8GB 512GB W10 15,6"" Prata";R$ 3.889,00;21;Submarino;Notebook
"Notebook Lenovo Ultrafino Ideapad 3i Intel Core i5-10210U 8GB 256GB SSD W10 15.6"" Prata";R$ 3.499,99;4;Submarino;Notebook
"Notebook Dell Inspiron I15-3501-A10P Intel Pentium Gold-7505 4GB 128GB W10 HD 15.6"" Preto";R$ 2.759,74;5;Submarino;Notebook
"Notebook Acer Aspire 5 AN515-44-R8HN AMD Ryzen 7-4800H 8GB (GeForce GTX 1650 4GB) 512GB SSD W10 15.6"" Preto";R$ 6.299,99;11;Submarino;Notebook
"Notebook Dell Inspiron I15-3501-A25P Intel Core I3-1005G1 4GB 256GB SSD W10 15.6"" - Preto";R$ 3.099,99;14;Submarino;Notebook
"Notebook Lenovo Ultrafino Ideapad 3i Intel Core i5-10210U 8GB (GeForce MX330 2GB) 256GB SSD W10 15.6"" Prata";R$ 4.099,00;3;Submarino;Notebook
"MacBook Air 13"" Apple M1 (8GB 256GB) Prateado";R$ 8.413,61;1;Submarino;Notebook
Notebook Acer AN515-55-51D3 Intel Core i5-10300H 8GB (GeForce GTX 1650) 512GB SSD W10 15,6'' - Black;R$ 5.499,99;2;Submarino;Notebook
Notebook Acer Aspire Nitro 5 AN515-54-528V 9ª Intel Core i5 8GB (Geforce GTX1650 4GB) 1TB 128GB SSD 15.6 FHD W10 Preto;R$ 5.389,00;7;Submarino;Notebook
Notebook Asus X515JA-EJ592R Intel Core i5-1035G1 8GB 256GB SSD W10 Pro 15.6'' Cinza;R$ 4.482,99;0;Submarino;Notebook
Notebook Acer Aspire 3 A315-23-R1J9 AMD Ryzen 7-3700U 12GB (AMD Radeon RX Vega 10) 256GB SSD W10 15,6'' - Preto;R$ 3.579,99;3;Submarino;Notebook
Notebook Samsung Book Intel Core I3-1115G4 4GB 1TB W10 FHD 15.6'' Cinza Chumbo NP550XDA-KT1BR;R$ 2.970,59;6;Submarino;Notebook
Notebook Acer A515-54-53VN Intel Core i5-10210U 8GB 256GB SSD W10 15.6'' - Black;R$ 3.579,99;0;Submarino;Notebook
Notebook Samsung Book Intel Celeron-6305 4GB 500GB W10 FHD 15.6'' Cinza Chumbo NP550XDA-KO1BR;R$ 2.199,00;8;Submarino;Notebook
Notebook Compaq Presario 420 Intel Pentium-N3700 4GB 120GB W10 14,1'' Cinza;R$ 1.823,60;14;Submarino;Notebook
Notebook Samsung Book Intel Core i5-1135G7 8GB 1TB (Intel Iris Xe) W10 FHD 15.6'' Branco NP550XDA-KF4BR;R$ 3.789,00;10;Submarino;Notebook
Notebook Acer Aspire 5 A515-54-557C Intel Core i5 4GB 256GB SSD Linux 15.6'' Cinza;R$ 3.349,99;0;Submarino;Notebook
"Notebook Asus Vivobook 15 X513EA-EJ1065T Intel Core i7-1165G7 8GB 512GB W10 15.6"" Black";R$ 6.357,99;0;Submarino;Notebook
Notebook Acer Aspire 3 A315-23-R6HC AMD R5 3500U 8GB 512GB SSD W10 15,6'';R$ 3.571,99;0;Submarino;Notebook
"Notebook Lenovo Ultrafino Ideapad 3i Intel Core i3-10110U 4GB 1TB W10 15.6"" Prata";R$ 2.949,16;8;Submarino;Notebook
Notebook Acer Aspire 5 AN515-55-705U Intel Core i7-10750H 8GB (GeForce GTX 1660 TI 6GB) 512GB W10 15.6'' - Preto;R$ 7.678,00;7;Submarino;Notebook
"Notebook Acer Aspire 5 A515-54G-53XP Intel Core i5-10210U 8GB (MX250 2GB) 256GB W10 15.6"" Prata";R$ 3.699,99;12;Submarino;Notebook
Notebook Samsung Book Intel Core i5-1135G7 8GB 256GB SSD (Intel Iris Xe) Windows 10 FHD Tela 15.6'' Cinza Chumbo NP550XDA-KF2BR;R$ 3.689,00;38;Submarino;Notebook
"Notebook Lenovo Ultrafino Ideapad S145 AMD Ryzen 5 12GB 1TB Linux 15.6"" Prata";R$ 3.048,35;19;Submarino;Notebook
"Notebook Acer Aspire 5 A515-54-50BT Intel Core i5-10210U 8GB 512GB W10 15,6"" Prata";R$ 3.889,00;21;Submarino;Notebook
"Notebook Lenovo Ultrafino Ideapad 3i Intel Core i5-10210U 8GB 256GB SSD W10 15.6"" Prata";R$ 3.499,99;4;Submarino;Notebook
"Notebook Dell Inspiron I15-3501-A10P Intel Pentium Gold-7505 4GB 128GB W10 HD 15.6"" Preto";R$ 2.759,74;5;Submarino;Notebook
"Notebook Acer Aspire 5 AN515-44-R8HN AMD Ryzen 7-4800H 8GB (GeForce GTX 1650 4GB) 512GB SSD W10 15.6"" Preto";R$ 6.299,99;11;Submarino;Notebook
"Notebook Dell Inspiron I15-3501-A25P Intel Core I3-1005G1 4GB 256GB SSD W10 15.6"" - Preto";R$ 3.099,99;14;Submarino;Notebook
"Notebook Lenovo Ultrafino Ideapad 3i Intel Core i5-10210U 8GB (GeForce MX330 2GB) 256GB SSD W10 15.6"" Prata";R$ 4.099,00;3;Submarino;Notebook
"MacBook Air 13"" Apple M1 (8GB 256GB) Prateado";R$ 8.413,61;1;Submarino;Notebook
Notebook Acer AN515-55-51D3 Intel Core i5-10300H 8GB (GeForce GTX 1650) 512GB SSD W10 15,6'' - Black;R$ 5.499,99;2;Submarino;Notebook
Notebook Acer Aspire Nitro 5 AN515-54-528V 9ª Intel Core i5 8GB (Geforce GTX1650 4GB) 1TB 128GB SSD 15.6 FHD W10 Preto;R$ 5.389,00;7;Submarino;Notebook
Notebook Asus X515JA-EJ592R Intel Core i5-1035G1 8GB 256GB SSD W10 Pro 15.6'' Cinza;R$ 4.482,99;0;Submarino;Notebook
Notebook Acer Aspire 3 A315-23-R1J9 AMD Ryzen 7-3700U 12GB (AMD Radeon RX Vega 10) 256GB SSD W10 15,6'' - Preto;R$ 3.579,99;3;Submarino;Notebook
Notebook Samsung Book Intel Core I3-1115G4 4GB 1TB W10 FHD 15.6'' Cinza Chumbo NP550XDA-KT1BR;R$ 2.970,59;6;Submarino;Notebook
Notebook Acer A515-54-53VN Intel Core i5-10210U 8GB 256GB SSD W10 15.6'' - Black;R$ 3.579,99;0;Submarino;Notebook
Notebook Samsung Book Intel Celeron-6305 4GB 500GB W10 FHD 15.6'' Cinza Chumbo NP550XDA-KO1BR;R$ 2.199,00;8;Submarino;Notebook
Notebook Compaq Presario 420 Intel Pentium-N3700 4GB 120GB W10 14,1'' Cinza;R$ 1.823,60;14;Submarino;Notebook
Notebook Samsung Book Intel Core i5-1135G7 8GB 1TB (Intel Iris Xe) W10 FHD 15.6'' Branco NP550XDA-KF4BR;R$ 3.789,00;10;Submarino;Notebook
Notebook Acer Aspire 5 A515-54-557C Intel Core i5 4GB 256GB SSD Linux 15.6'' Cinza;R$ 3.349,99;0;Submarino;Notebook
"Notebook Asus Vivobook 15 X513EA-EJ1065T Intel Core i7-1165G7 8GB 512GB W10 15.6"" Black";R$ 6.357,99;0;Submarino;Notebook
Notebook Acer Aspire 3 A315-23-R6HC AMD R5 3500U 8GB 512GB SSD W10 15,6'';R$ 3.571,99;0;Submarino;Notebook
"Notebook Lenovo Ultrafino Ideapad 3i Intel Core i3-10110U 4GB 1TB W10 15.6"" Prata";R$ 2.949,16;8;Submarino;Notebook
Notebook Acer Aspire 5 AN515-55-705U Intel Core i7-10750H 8GB (GeForce GTX 1660 TI 6GB) 512GB W10 15.6'' - Preto;R$ 7.678,00;7;Submarino;Notebook
"Notebook Acer Aspire 5 A515-54G-53XP Intel Core i5-10210U 8GB (MX250 2GB) 256GB W10 15.6"" Prata";R$ 3.699,99;12;Submarino;Notebook
Notebook Samsung Book Intel Core i5-1135G7 8GB 256GB SSD (Intel Iris Xe) Windows 10 FHD Tela 15.6'' Cinza Chumbo NP550XDA-KF2BR;R$ 3.689,00;38;Submarino;Notebook
"Notebook Lenovo Ultrafino Ideapad S145 AMD Ryzen 5 12GB 1TB Linux 15.6"" Prata";R$ 3.048,35;19;Submarino;Notebook
"Notebook Acer Aspire 5 A515-54-50BT Intel Core i5-10210U 8GB 512GB W10 15,6"" Prata";R$ 3.889,00;21;Submarino;Notebook
"Notebook Lenovo Ultrafino Ideapad 3i Intel Core i5-10210U 8GB 256GB SSD W10 15.6"" Prata";R$ 3.499,99;4;Submarino;Notebook
"Notebook Dell Inspiron I15-3501-A10P Intel Pentium Gold-7505 4GB 128GB W10 HD 15.6"" Preto";R$ 2.759,74;5;Submarino;Notebook
"Notebook Acer Aspire 5 AN515-44-R8HN AMD Ryzen 7-4800H 8GB (GeForce GTX 1650 4GB) 512GB SSD W10 15.6"" Preto";R$ 6.299,99;11;Submarino;Notebook
"Notebook Dell Inspiron I15-3501-A25P Intel Core I3-1005G1 4GB 256GB SSD W10 15.6"" - Preto";R$ 3.099,99;14;Submarino;Notebook
"Notebook Lenovo Ultrafino Ideapad 3i Intel Core i5-10210U 8GB (GeForce MX330 2GB) 256GB SSD W10 15.6"" Prata";R$ 4.099,00;3;Submarino;Notebook
"MacBook Air 13"" Apple M1 (8GB 256GB) Prateado";R$ 8.413,61;1;Submarino;Notebook
Notebook Acer AN515-55-51D3 Intel Core i5-10300H 8GB (GeForce GTX 1650) 512GB SSD W10 15,6'' - Black;R$ 5.499,99;2;Submarino;Notebook
Notebook Acer Aspire Nitro 5 AN515-54-528V 9ª Intel Core i5 8GB (Geforce GTX1650 4GB) 1TB 128GB SSD 15.6 FHD W10 Preto;R$ 5.389,00;7;Submarino;Notebook
Notebook Asus X515JA-EJ592R Intel Core i5-1035G1 8GB 256GB SSD W10 Pro 15.6'' Cinza;R$ 4.482,99;0;Submarino;Notebook
Notebook Acer Aspire 3 A315-23-R1J9 AMD Ryzen 7-3700U 12GB (AMD Radeon RX Vega 10) 256GB SSD W10 15,6'' - Preto;R$ 3.579,99;3;Submarino;Notebook
Notebook Samsung Book Intel Core I3-1115G4 4GB 1TB W10 FHD 15.6'' Cinza Chumbo NP550XDA-KT1BR;R$ 2.970,59;6;Submarino;Notebook
Notebook Acer A515-54-53VN Intel Core i5-10210U 8GB 256GB SSD W10 15.6'' - Black;R$ 3.579,99;0;Submarino;Notebook
Notebook Samsung Book Intel Celeron-6305 4GB 500GB W10 FHD 15.6'' Cinza Chumbo NP550XDA-KO1BR;R$ 2.199,00;8;Submarino;Notebook
Notebook Compaq Presario 420 Intel Pentium-N3700 4GB 120GB W10 14,1'' Cinza;R$ 1.823,60;14;Submarino;Notebook
Notebook Samsung Book Intel Core i5-1135G7 8GB 1TB (Intel Iris Xe) W10 FHD 15.6'' Branco NP550XDA-KF4BR;R$ 3.789,00;10;Submarino;Notebook
Notebook Acer Aspire 5 A515-54-557C Intel Core i5 4GB 256GB SSD Linux 15.6'' Cinza;R$ 3.349,99;0;Submarino;Notebook
"Notebook Asus Vivobook 15 X513EA-EJ1065T Intel Core i7-1165G7 8GB 512GB W10 15.6"" Black";R$ 6.357,99;0;Submarino;Notebook
Notebook Acer Aspire 3 A315-23-R6HC AMD R5 3500U 8GB 512GB SSD W10 15,6'';R$ 3.571,99;0;Submarino;Notebook
"Notebook Lenovo Ultrafino Ideapad 3i Intel Core i3-10110U 4GB 1TB W10 15.6"" Prata";R$ 2.949,16;8;Submarino;Notebook
Notebook Acer Aspire 5 AN515-55-705U Intel Core i7-10750H 8GB (GeForce GTX 1660 TI 6GB) 512GB W10 15.6'' - Preto;R$ 7.678,00;7;Submarino;Notebook
"Notebook Acer Aspire 5 A515-54G-53XP Intel Core i5-10210U 8GB (MX250 2GB) 256GB W10 15.6"" Prata";R$ 3.699,99;12;Submarino;Notebook
Notebook Samsung Book Intel Core i5-1135G7 8GB 256GB SSD (Intel Iris Xe) Windows 10 FHD Tela 15.6'' Cinza Chumbo NP550XDA-KF2BR;R$ 3.689,00;38;Submarino;Notebook
"Notebook Lenovo Ultrafino Ideapad S145 AMD Ryzen 5 12GB 1TB Linux 15.6"" Prata";R$ 3.048,35;19;Submarino;Notebook
"Notebook Acer Aspire 5 A515-54-50BT Intel Core i5-10210U 8GB 512GB W10 15,6"" Prata";R$ 3.889,00;21;Submarino;Notebook
"Notebook Lenovo Ultrafino Ideapad 3i Intel Core i5-10210U 8GB 256GB SSD W10 15.6"" Prata";R$ 3.499,99;4;Submarino;Notebook
"Notebook Dell Inspiron I15-3501-A10P Intel Pentium Gold-7505 4GB 128GB W10 HD 15.6"" Preto";R$ 2.759,74;5;Submarino;Notebook
"Notebook Acer Aspire 5 AN515-44-R8HN AMD Ryzen 7-4800H 8GB (GeForce GTX 1650 4GB) 512GB SSD W10 15.6"" Preto";R$ 6.299,99;11;Submarino;Notebook
"Notebook Dell Inspiron I15-3501-A25P Intel Core I3-1005G1 4GB 256GB SSD W10 15.6"" - Preto";R$ 3.099,99;14;Submarino;Notebook
"Notebook Lenovo Ultrafino Ideapad 3i Intel Core i5-10210U 8GB (GeForce MX330 2GB) 256GB SSD W10 15.6"" Prata";R$ 4.099,00;3;Submarino;Notebook
"MacBook Air 13"" Apple M1 (8GB 256GB) Prateado";R$ 8.413,61;1;Submarino;Notebook
Notebook Acer AN515-55-51D3 Intel Core i5-10300H 8GB (GeForce GTX 1650) 512GB SSD W10 15,6'' - Black;R$ 5.499,99;2;Submarino;Notebook
Notebook Acer Aspire Nitro 5 AN515-54-528V 9ª Intel Core i5 8GB (Geforce GTX1650 4GB) 1TB 128GB SSD 15.6 FHD W10 Preto;R$ 5.389,00;7;Submarino;Notebook
Notebook Asus X515JA-EJ592R Intel Core i5-1035G1 8GB 256GB SSD W10 Pro 15.6'' Cinza;R$ 4.482,99;0;Submarino;Notebook
Notebook Acer Aspire 3 A315-23-R1J9 AMD Ryzen 7-3700U 12GB (AMD Radeon RX Vega 10) 256GB SSD W10 15,6'' - Preto;R$ 3.579,99;3;Submarino;Notebook
Notebook Samsung Book Intel Core I3-1115G4 4GB 1TB W10 FHD 15.6'' Cinza Chumbo NP550XDA-KT1BR;R$ 2.970,59;6;Submarino;Notebook
Notebook Acer A515-54-53VN Intel Core i5-10210U 8GB 256GB SSD W10 15.6'' - Black;R$ 3.579,99;0;Submarino;Notebook
Notebook Samsung Book Intel Celeron-6305 4GB 500GB W10 FHD 15.6'' Cinza Chumbo NP550XDA-KO1BR;R$ 2.199,00;8;Submarino;Notebook
Notebook Compaq Presario 420 Intel Pentium-N3700 4GB 120GB W10 14,1'' Cinza;R$ 1.823,60;14;Submarino;Notebook
Notebook Samsung Book Intel Core i5-1135G7 8GB 1TB (Intel Iris Xe) W10 FHD 15.6'' Branco NP550XDA-KF4BR;R$ 3.789,00;10;Submarino;Notebook
Notebook Acer Aspire 5 A515-54-557C Intel Core i5 4GB 256GB SSD Linux 15.6'' Cinza;R$ 3.349,99;0;Submarino;Notebook
"Notebook Asus Vivobook 15 X513EA-EJ1065T Intel Core i7-1165G7 8GB 512GB W10 15.6"" Black";R$ 6.357,99;0;Submarino;Notebook
Notebook Acer Aspire 3 A315-23-R6HC AMD R5 3500U 8GB 512GB SSD W10 15,6'';R$ 3.571,99;0;Submarino;Notebook
"Notebook Lenovo Ultrafino Ideapad 3i Intel Core i3-10110U 4GB 1TB W10 15.6"" Prata";R$ 2.949,16;8;Submarino;Notebook
Notebook Acer Aspire 5 AN515-55-705U Intel Core i7-10750H 8GB (GeForce GTX 1660 TI 6GB) 512GB W10 15.6'' - Preto;R$ 7.678,00;7;Submarino;Notebook
"Notebook Acer Aspire 5 A515-54G-53XP Intel Core i5-10210U 8GB (MX250 2GB) 256GB W10 15.6"" Prata";R$ 3.699,99;12;Submarino;Notebook
Notebook Samsung Book Intel Core i5-1135G7 8GB 256GB SSD (Intel Iris Xe) Windows 10 FHD Tela 15.6'' Cinza Chumbo NP550XDA-KF2BR;R$ 3.689,00;38;Submarino;Notebook
"Notebook Lenovo Ultrafino Ideapad S145 AMD Ryzen 5 12GB 1TB Linux 15.6"" Prata";R$ 3.048,35;19;Submarino;Notebook
"Notebook Acer Aspire 5 A515-54-50BT Intel Core i5-10210U 8GB 512GB W10 15,6"" Prata";R$ 3.889,00;21;Submarino;Notebook
"Notebook Lenovo Ultrafino Ideapad 3i Intel Core i5-10210U 8GB 256GB SSD W10 15.6"" Prata";R$ 3.499,99;4;Submarino;Notebook
"Notebook Dell Inspiron I15-3501-A10P Intel Pentium Gold-7505 4GB 128GB W10 HD 15.6"" Preto";R$ 2.759,74;5;Submarino;Notebook
"Notebook Acer Aspire 5 AN515-44-R8HN AMD Ryzen 7-4800H 8GB (GeForce GTX 1650 4GB) 512GB SSD W10 15.6"" Preto";R$ 6.299,99;11;Submarino;Notebook
"Notebook Dell Inspiron I15-3501-A25P Intel Core I3-1005G1 4GB 256GB SSD W10 15.6"" - Preto";R$ 3.099,99;14;Submarino;Notebook
"Notebook Lenovo Ultrafino Ideapad 3i Intel Core i5-10210U 8GB (GeForce MX330 2GB) 256GB SSD W10 15.6"" Prata";R$ 4.099,00;3;Submarino;Notebook
"MacBook Air 13"" Apple M1 (8GB 256GB) Prateado";R$ 8.413,61;1;Submarino;Notebook
Notebook Acer AN515-55-51D3 Intel Core i5-10300H 8GB (GeForce GTX 1650) 512GB SSD W10 15,6'' - Black;R$ 5.499,99;2;Submarino;Notebook
Notebook Acer Aspire Nitro 5 AN515-54-528V 9ª Intel Core i5 8GB (Geforce GTX1650 4GB) 1TB 128GB SSD 15.6 FHD W10 Preto;R$ 5.389,00;7;Submarino;Notebook
Notebook Asus X515JA-EJ592R Intel Core i5-1035G1 8GB 256GB SSD W10 Pro 15.6'' Cinza;R$ 4.482,99;0;Submarino;Notebook
Notebook Acer Aspire 3 A315-23-R1J9 AMD Ryzen 7-3700U 12GB (AMD Radeon RX Vega 10) 256GB SSD W10 15,6'' - Preto;R$ 3.579,99;3;Submarino;Notebook
Notebook Samsung Book Intel Core I3-1115G4 4GB 1TB W10 FHD 15.6'' Cinza Chumbo NP550XDA-KT1BR;R$ 2.970,59;6;Submarino;Notebook
Notebook Acer A515-54-53VN Intel Core i5-10210U 8GB 256GB SSD W10 15.6'' - Black;R$ 3.579,99;0;Submarino;Notebook
Notebook Samsung Book Intel Celeron-6305 4GB 500GB W10 FHD 15.6'' Cinza Chumbo NP550XDA-KO1BR;R$ 2.199,00;8;Submarino;Notebook
Notebook Compaq Presario 420 Intel Pentium-N3700 4GB 120GB W10 14,1'' Cinza;R$ 1.823,60;14;Submarino;Notebook
Notebook Samsung Book Intel Core i5-1135G7 8GB 1TB (Intel Iris Xe) W10 FHD 15.6'' Branco NP550XDA-KF4BR;R$ 3.789,00;10;Submarino;Notebook
Notebook Acer Aspire 5 A515-54-557C Intel Core i5 4GB 256GB SSD Linux 15.6'' Cinza;R$ 3.349,99;0;Submarino;Notebook
"Notebook Asus Vivobook 15 X513EA-EJ1065T Intel Core i7-1165G7 8GB 512GB W10 15.6"" Black";R$ 6.357,99;0;Submarino;Notebook
Notebook Acer Aspire 3 A315-23-R6HC AMD R5 3500U 8GB 512GB SSD W10 15,6'';R$ 3.571,99;0;Submarino;Notebook
"Notebook Lenovo Ultrafino Ideapad 3i Intel Core i3-10110U 4GB 1TB W10 15.6"" Prata";R$ 2.949,16;8;Submarino;Notebook
Notebook Acer Aspire 5 AN515-55-705U Intel Core i7-10750H 8GB (GeForce GTX 1660 TI 6GB) 512GB W10 15.6'' - Preto;R$ 7.678,00;7;Submarino;Notebook
"Notebook Acer Aspire 5 A515-54G-53XP Intel Core i5-10210U 8GB (MX250 2GB) 256GB W10 15.6"" Prata";R$ 3.699,99;12;Submarino;Notebook
Notebook Samsung Book Intel Core i5-1135G7 8GB 256GB SSD (Intel Iris Xe) Windows 10 FHD Tela 15.6'' Cinza Chumbo NP550XDA-KF2BR;R$ 3.689,00;38;Submarino;Notebook
"Notebook Lenovo Ultrafino Ideapad S145 AMD Ryzen 5 12GB 1TB Linux 15.6"" Prata";R$ 3.048,35;19;Submarino;Notebook
"Notebook Acer Aspire 5 A515-54-50BT Intel Core i5-10210U 8GB 512GB W10 15,6"" Prata";R$ 3.889,00;21;Submarino;Notebook
"Notebook Lenovo Ultrafino Ideapad 3i Intel Core i5-10210U 8GB 256GB SSD W10 15.6"" Prata";R$ 3.499,99;4;Submarino;Notebook
"Notebook Dell Inspiron I15-3501-A10P Intel Pentium Gold-7505 4GB 128GB W10 HD 15.6"" Preto";R$ 2.759,74;5;Submarino;Notebook
"Notebook Acer Aspire 5 AN515-44-R8HN AMD Ryzen 7-4800H 8GB (GeForce GTX 1650 4GB) 512GB SSD W10 15.6"" Preto";R$ 6.299,99;11;Submarino;Notebook
"Notebook Dell Inspiron I15-3501-A25P Intel Core I3-1005G1 4GB 256GB SSD W10 15.6"" - Preto";R$ 3.099,99;14;Submarino;Notebook
"Notebook Lenovo Ultrafino Ideapad 3i Intel Core i5-10210U 8GB (GeForce MX330 2GB) 256GB SSD W10 15.6"" Prata";R$ 4.099,00;3;Submarino;Notebook
